(0,0.5,-12)
(12,0.5,0)
(0,0.5,12)
(-12,0.5,0)
(0,3.75,-12)
(12,3.75,0)
(0,3.75,12)
(-12,3.75,0)
(0,7,-12)
(12,7,0)
(0,7,12)
(-12,7,0)
(0,10.25,-12)
(12,10.25,0)
(0,10.25,12)
(-12,10.25,0)
(0,13.5,-12)
(12,13.5,0)
(0,13.5,12)
(-12,13.5,0)
(0,16.75,-12)
(12,16.75,0)
(0,16.75,12)
(-12,16.75,0)
(0,20,-12)
(12,20,0)
(0,20,12)
(-12,20,0)
(0,23.25,-12)
(12,23.25,0)
(0,23.25,12)
(-12,23.25,0)
(0,26.5,-12)
(12,26.5,0)
(0,26.5,12)
(-12,26.5,0)
